timestamp,flavor,count
2026-01-20 15:50:21,whole,0
2026-01-20 15:50:21,1pct,0
2026-01-20 15:50:21,2pct,0
2026-01-20 15:50:26,whole,0
2026-01-20 15:50:26,1pct,0
2026-01-20 15:50:26,2pct,0
2026-01-20 15:50:31,whole,1
2026-01-20 15:50:31,1pct,1
2026-01-20 15:50:31,2pct,2
2026-01-20 15:50:36,whole,2
2026-01-20 15:50:36,1pct,1
2026-01-20 15:50:36,2pct,1
2026-01-20 15:50:41,whole,1
2026-01-20 15:50:41,1pct,2
2026-01-20 15:50:41,2pct,1
2026-01-20 15:50:46,whole,1
2026-01-20 15:50:46,1pct,2
2026-01-20 15:50:46,2pct,1
2026-01-20 15:50:51,whole,1
2026-01-20 15:50:51,1pct,0
2026-01-20 15:50:51,2pct,1
2026-01-20 15:50:56,whole,1
2026-01-20 15:50:56,1pct,1
2026-01-20 15:50:56,2pct,1
2026-01-20 15:51:01,whole,1
2026-01-20 15:51:01,1pct,0
2026-01-20 15:51:01,2pct,1
2026-01-20 15:51:06,whole,1
2026-01-20 15:51:06,1pct,1
2026-01-20 15:51:06,2pct,1
2026-01-20 15:51:11,whole,1
2026-01-20 15:51:11,1pct,0
2026-01-20 15:51:11,2pct,0
2026-01-20 15:51:16,whole,2
2026-01-20 15:51:16,1pct,1
2026-01-20 15:51:16,2pct,2
2026-01-20 15:51:21,whole,1
2026-01-20 15:51:21,1pct,1
2026-01-20 15:51:21,2pct,0
2026-01-20 15:51:26,whole,0
2026-01-20 15:51:26,1pct,0
2026-01-20 15:51:26,2pct,0
2026-01-20 15:51:31,whole,0
2026-01-20 15:51:31,1pct,0
2026-01-20 15:51:31,2pct,0
2026-01-20 15:51:37,whole,0
2026-01-20 15:51:37,1pct,0
2026-01-20 15:51:37,2pct,0
2026-01-20 15:51:42,whole,0
2026-01-20 15:51:42,1pct,0
2026-01-20 15:51:42,2pct,0
2026-01-20 15:51:47,whole,0
2026-01-20 15:51:47,1pct,0
2026-01-20 15:51:47,2pct,0
2026-01-20 15:51:52,whole,0
2026-01-20 15:51:52,1pct,0
2026-01-20 15:51:52,2pct,0
2026-01-20 15:51:57,whole,0
2026-01-20 15:51:57,1pct,0
2026-01-20 15:51:57,2pct,0
2026-01-20 15:52:02,whole,0
2026-01-20 15:52:02,1pct,0
2026-01-20 15:52:02,2pct,0
2026-01-20 15:52:07,whole,0
2026-01-20 15:52:07,1pct,0
2026-01-20 15:52:07,2pct,0
2026-01-20 15:52:12,whole,0
2026-01-20 15:52:12,1pct,0
2026-01-20 15:52:12,2pct,0
2026-01-20 15:52:17,whole,0
2026-01-20 15:52:17,1pct,0
2026-01-20 15:52:17,2pct,0
2026-01-20 15:52:22,whole,0
2026-01-20 15:52:22,1pct,0
2026-01-20 15:52:22,2pct,0
2026-01-20 15:52:27,whole,0
2026-01-20 15:52:27,1pct,0
2026-01-20 15:52:27,2pct,0
2026-01-20 15:52:32,whole,0
2026-01-20 15:52:32,1pct,0
2026-01-20 15:52:32,2pct,0
2026-01-20 15:52:37,whole,0
2026-01-20 15:52:37,1pct,0
2026-01-20 15:52:37,2pct,0
2026-01-20 15:52:42,whole,0
2026-01-20 15:52:42,1pct,0
2026-01-20 15:52:42,2pct,0
2026-01-20 15:52:47,whole,0
2026-01-20 15:52:47,1pct,0
2026-01-20 15:52:47,2pct,0
2026-01-20 15:52:52,whole,0
2026-01-20 15:52:52,1pct,0
2026-01-20 15:52:52,2pct,0
2026-01-20 15:52:57,whole,0
2026-01-20 15:52:57,1pct,0
2026-01-20 15:52:57,2pct,0
2026-01-20 15:53:03,whole,0
2026-01-20 15:53:03,1pct,0
2026-01-20 15:53:03,2pct,0
2026-01-20 15:53:08,whole,0
2026-01-20 15:53:08,1pct,0
2026-01-20 15:53:08,2pct,0
2026-01-20 15:53:13,whole,0
2026-01-20 15:53:13,1pct,0
2026-01-20 15:53:13,2pct,0
2026-01-20 15:53:18,whole,0
2026-01-20 15:53:18,1pct,0
2026-01-20 15:53:18,2pct,0
2026-01-20 15:53:23,whole,0
2026-01-20 15:53:23,1pct,0
2026-01-20 15:53:23,2pct,0
2026-01-20 15:53:28,whole,0
2026-01-20 15:53:28,1pct,0
2026-01-20 15:53:28,2pct,0
2026-01-20 15:53:33,whole,0
2026-01-20 15:53:33,1pct,0
2026-01-20 15:53:33,2pct,0
2026-01-20 15:53:38,whole,0
2026-01-20 15:53:38,1pct,0
2026-01-20 15:53:38,2pct,0
2026-01-20 15:53:43,whole,0
2026-01-20 15:53:43,1pct,0
2026-01-20 15:53:43,2pct,0
2026-01-20 15:53:48,whole,0
2026-01-20 15:53:48,1pct,0
2026-01-20 15:53:48,2pct,0
2026-01-20 15:53:53,whole,0
2026-01-20 15:53:53,1pct,0
2026-01-20 15:53:53,2pct,0
2026-01-20 15:53:58,whole,0
2026-01-20 15:53:58,1pct,0
2026-01-20 15:53:58,2pct,0
2026-01-20 15:54:03,whole,0
2026-01-20 15:54:03,1pct,0
2026-01-20 15:54:03,2pct,0
2026-01-20 15:54:08,whole,0
2026-01-20 15:54:08,1pct,0
2026-01-20 15:54:08,2pct,0
2026-01-20 15:54:13,whole,0
2026-01-20 15:54:13,1pct,0
2026-01-20 15:54:13,2pct,0
2026-01-20 15:54:18,whole,0
2026-01-20 15:54:18,1pct,0
2026-01-20 15:54:18,2pct,0
2026-01-20 15:54:23,whole,0
2026-01-20 15:54:23,1pct,0
2026-01-20 15:54:23,2pct,0
2026-01-20 15:54:28,whole,0
2026-01-20 15:54:28,1pct,0
2026-01-20 15:54:28,2pct,0
2026-01-20 15:54:34,whole,0
2026-01-20 15:54:34,1pct,0
2026-01-20 15:54:34,2pct,0
2026-01-20 15:54:39,whole,0
2026-01-20 15:54:39,1pct,0
2026-01-20 15:54:39,2pct,0
2026-01-20 15:54:44,whole,0
2026-01-20 15:54:44,1pct,0
2026-01-20 15:54:44,2pct,0
2026-01-20 15:54:49,whole,0
2026-01-20 15:54:49,1pct,0
2026-01-20 15:54:49,2pct,0
2026-01-20 15:54:54,whole,0
2026-01-20 15:54:54,1pct,0
2026-01-20 15:54:54,2pct,0
2026-01-20 15:54:59,whole,0
2026-01-20 15:54:59,1pct,0
2026-01-20 15:54:59,2pct,0
2026-01-20 15:55:04,whole,0
2026-01-20 15:55:04,1pct,0
2026-01-20 15:55:04,2pct,0
2026-01-20 15:55:09,whole,0
2026-01-20 15:55:09,1pct,0
2026-01-20 15:55:09,2pct,0
2026-01-20 15:55:14,whole,0
2026-01-20 15:55:14,1pct,0
2026-01-20 15:55:14,2pct,0
2026-01-20 15:55:19,whole,0
2026-01-20 15:55:19,1pct,0
2026-01-20 15:55:19,2pct,0
2026-01-20 15:55:24,whole,0
2026-01-20 15:55:24,1pct,0
2026-01-20 15:55:24,2pct,0
2026-01-20 15:55:29,whole,0
2026-01-20 15:55:29,1pct,0
2026-01-20 15:55:29,2pct,0
2026-01-20 15:55:34,whole,0
2026-01-20 15:55:34,1pct,0
2026-01-20 15:55:34,2pct,0
2026-01-20 15:55:39,whole,0
2026-01-20 15:55:39,1pct,0
2026-01-20 15:55:39,2pct,0
2026-01-20 15:55:44,whole,0
2026-01-20 15:55:44,1pct,0
2026-01-20 15:55:44,2pct,0
2026-01-20 15:55:49,whole,0
2026-01-20 15:55:49,1pct,0
2026-01-20 15:55:49,2pct,0
2026-01-20 15:57:09,whole,0
2026-01-20 15:57:09,1pct,0
2026-01-20 15:57:09,2pct,0
2026-01-20 15:57:14,whole,0
2026-01-20 15:57:14,1pct,0
2026-01-20 15:57:14,2pct,0
2026-01-20 15:57:19,whole,0
2026-01-20 15:57:19,1pct,0
2026-01-20 15:57:19,2pct,0
2026-01-20 15:57:24,whole,0
2026-01-20 15:57:24,1pct,0
2026-01-20 15:57:24,2pct,0
2026-01-20 15:57:29,whole,0
2026-01-20 15:57:29,1pct,0
2026-01-20 15:57:29,2pct,0
2026-01-20 15:57:34,whole,0
2026-01-20 15:57:34,1pct,0
2026-01-20 15:57:34,2pct,0
2026-01-20 15:57:39,whole,0
2026-01-20 15:57:39,1pct,0
2026-01-20 15:57:39,2pct,0
2026-01-20 15:57:44,whole,0
2026-01-20 15:57:44,1pct,0
2026-01-20 15:57:44,2pct,0
2026-01-20 15:57:49,whole,0
2026-01-20 15:57:49,1pct,0
2026-01-20 15:57:49,2pct,0
2026-01-20 15:57:54,whole,0
2026-01-20 15:57:54,1pct,0
2026-01-20 15:57:54,2pct,0
2026-01-20 15:57:59,whole,0
2026-01-20 15:57:59,1pct,0
2026-01-20 15:57:59,2pct,0
2026-01-20 15:58:04,whole,0
2026-01-20 15:58:04,1pct,0
2026-01-20 15:58:04,2pct,0
2026-01-20 15:58:09,whole,0
2026-01-20 15:58:09,1pct,0
2026-01-20 15:58:09,2pct,0
2026-01-20 15:58:15,whole,0
2026-01-20 15:58:15,1pct,0
2026-01-20 15:58:15,2pct,0
2026-01-20 15:58:20,whole,0
2026-01-20 15:58:20,1pct,0
2026-01-20 15:58:20,2pct,0
2026-01-20 15:58:25,whole,0
2026-01-20 15:58:25,1pct,0
2026-01-20 15:58:25,2pct,0
2026-01-20 15:58:30,whole,0
2026-01-20 15:58:30,1pct,0
2026-01-20 15:58:30,2pct,0
2026-01-20 15:58:35,whole,0
2026-01-20 15:58:35,1pct,0
2026-01-20 15:58:35,2pct,0
2026-01-20 15:58:40,whole,0
2026-01-20 15:58:40,1pct,0
2026-01-20 15:58:40,2pct,0
2026-01-20 15:58:45,whole,0
2026-01-20 15:58:45,1pct,0
2026-01-20 15:58:45,2pct,0
2026-01-20 15:58:50,whole,0
2026-01-20 15:58:50,1pct,0
2026-01-20 15:58:50,2pct,0
2026-01-20 15:58:55,whole,0
2026-01-20 15:58:55,1pct,0
2026-01-20 15:58:55,2pct,0
2026-01-20 15:59:00,whole,0
2026-01-20 15:59:00,1pct,0
2026-01-20 15:59:00,2pct,0
2026-01-20 15:59:05,whole,0
2026-01-20 15:59:05,1pct,0
2026-01-20 15:59:05,2pct,0
2026-01-20 15:59:10,whole,0
2026-01-20 15:59:10,1pct,0
2026-01-20 15:59:10,2pct,0
2026-01-20 15:59:15,whole,0
2026-01-20 15:59:15,1pct,0
2026-01-20 15:59:15,2pct,0
2026-01-20 15:59:21,whole,0
2026-01-20 15:59:21,1pct,0
2026-01-20 15:59:21,2pct,0
2026-01-20 15:59:26,whole,0
2026-01-20 15:59:26,1pct,0
2026-01-20 15:59:26,2pct,0
2026-01-20 15:59:31,whole,0
2026-01-20 15:59:31,1pct,0
2026-01-20 15:59:31,2pct,0
2026-01-20 15:59:36,whole,0
2026-01-20 15:59:36,1pct,0
2026-01-20 15:59:36,2pct,0
2026-01-20 15:59:41,whole,0
2026-01-20 15:59:41,1pct,0
2026-01-20 15:59:41,2pct,0
2026-01-20 15:59:46,whole,0
2026-01-20 15:59:46,1pct,0
2026-01-20 15:59:46,2pct,0
2026-01-20 15:59:51,whole,0
2026-01-20 15:59:51,1pct,0
2026-01-20 15:59:51,2pct,0
2026-01-20 15:59:56,whole,0
2026-01-20 15:59:56,1pct,0
2026-01-20 15:59:56,2pct,0
2026-01-20 16:00:01,whole,0
2026-01-20 16:00:01,1pct,0
2026-01-20 16:00:01,2pct,0
2026-01-20 16:00:06,whole,0
2026-01-20 16:00:06,1pct,0
2026-01-20 16:00:06,2pct,0
2026-01-20 16:00:12,whole,0
2026-01-20 16:00:12,1pct,0
2026-01-20 16:00:12,2pct,0
2026-01-20 16:00:17,whole,0
2026-01-20 16:00:17,1pct,0
2026-01-20 16:00:17,2pct,0
2026-01-20 16:00:22,whole,0
2026-01-20 16:00:22,1pct,0
2026-01-20 16:00:22,2pct,0
2026-01-20 16:00:27,whole,0
2026-01-20 16:00:27,1pct,0
2026-01-20 16:00:27,2pct,0
2026-01-20 16:00:32,whole,0
2026-01-20 16:00:32,1pct,0
2026-01-20 16:00:32,2pct,0
2026-01-20 16:00:37,whole,0
2026-01-20 16:00:37,1pct,0
2026-01-20 16:00:37,2pct,0
2026-01-20 16:00:42,whole,0
2026-01-20 16:00:42,1pct,0
2026-01-20 16:00:42,2pct,0
2026-01-20 16:00:47,whole,0
2026-01-20 16:00:47,1pct,0
2026-01-20 16:00:47,2pct,0
2026-01-20 16:00:52,whole,0
2026-01-20 16:00:52,1pct,0
2026-01-20 16:00:52,2pct,0
2026-01-20 16:00:57,whole,0
2026-01-20 16:00:57,1pct,0
2026-01-20 16:00:57,2pct,0
2026-01-20 16:01:02,whole,0
2026-01-20 16:01:02,1pct,0
2026-01-20 16:01:02,2pct,0
2026-01-20 16:01:07,whole,0
2026-01-20 16:01:07,1pct,0
2026-01-20 16:01:07,2pct,0
2026-01-20 16:01:29,whole,0
2026-01-20 16:01:29,1pct,0
2026-01-20 16:01:29,2pct,0
2026-01-20 16:01:34,whole,2
2026-01-20 16:01:34,1pct,0
2026-01-20 16:01:34,2pct,1
2026-01-20 16:01:39,whole,2
2026-01-20 16:01:39,1pct,1
2026-01-20 16:01:39,2pct,1
2026-01-20 16:01:44,whole,2
2026-01-20 16:01:44,1pct,1
2026-01-20 16:01:44,2pct,1
2026-01-20 16:01:49,whole,2
2026-01-20 16:01:49,1pct,1
2026-01-20 16:01:49,2pct,1
2026-01-20 16:01:54,whole,2
2026-01-20 16:01:54,1pct,1
2026-01-20 16:01:54,2pct,1
2026-01-20 16:01:59,whole,2
2026-01-20 16:01:59,1pct,0
2026-01-20 16:01:59,2pct,1
2026-01-20 16:02:04,whole,2
2026-01-20 16:02:04,1pct,0
2026-01-20 16:02:04,2pct,0
2026-01-20 16:02:09,whole,2
2026-01-20 16:02:09,1pct,0
2026-01-20 16:02:09,2pct,0
2026-01-20 16:02:14,whole,2
2026-01-20 16:02:14,1pct,0
2026-01-20 16:02:14,2pct,0
2026-01-20 16:17:47,whole,2
2026-01-20 16:17:47,1pct,0
2026-01-20 16:17:47,2pct,0
2026-01-20 16:17:52,whole,2
2026-01-20 16:17:52,1pct,1
2026-01-20 16:17:52,2pct,1
2026-01-20 16:17:57,whole,2
2026-01-20 16:17:57,1pct,1
2026-01-20 16:17:57,2pct,1
2026-01-20 16:18:02,whole,2
2026-01-20 16:18:02,1pct,1
2026-01-20 16:18:02,2pct,1
2026-01-20 16:18:07,whole,2
2026-01-20 16:18:07,1pct,0
2026-01-20 16:18:07,2pct,0
2026-01-20 16:18:12,whole,2
2026-01-20 16:18:12,1pct,0
2026-01-20 16:18:12,2pct,0
2026-01-20 16:18:17,whole,2
2026-01-20 16:18:17,1pct,0
2026-01-20 16:18:17,2pct,0
2026-01-20 16:18:23,whole,2
2026-01-20 16:18:23,1pct,0
2026-01-20 16:18:23,2pct,1
2026-01-20 16:18:28,whole,2
2026-01-20 16:18:28,1pct,0
2026-01-20 16:18:28,2pct,1
2026-01-20 21:55:34,whole,0
2026-01-20 21:55:34,1pct,0
2026-01-20 21:55:34,2pct,0
2026-01-20 21:55:39,whole,0
2026-01-20 21:55:39,1pct,0
2026-01-20 21:55:39,2pct,0
2026-01-20 21:55:45,whole,0
2026-01-20 21:55:45,1pct,0
2026-01-20 21:55:45,2pct,0
2026-01-20 21:55:50,whole,0
2026-01-20 21:55:50,1pct,0
2026-01-20 21:55:50,2pct,0
2026-01-20 21:55:55,whole,0
2026-01-20 21:55:55,1pct,0
2026-01-20 21:55:55,2pct,0
2026-01-20 21:56:00,whole,0
2026-01-20 21:56:00,1pct,0
2026-01-20 21:56:00,2pct,0
2026-01-20 21:56:05,whole,0
2026-01-20 21:56:05,1pct,0
2026-01-20 21:56:05,2pct,0
2026-01-20 21:56:10,whole,0
2026-01-20 21:56:10,1pct,0
2026-01-20 21:56:10,2pct,0
2026-01-20 21:56:15,whole,0
2026-01-20 21:56:15,1pct,0
2026-01-20 21:56:15,2pct,0
2026-01-20 21:56:20,whole,0
2026-01-20 21:56:20,1pct,0
2026-01-20 21:56:20,2pct,0
2026-01-20 21:56:25,whole,0
2026-01-20 21:56:25,1pct,0
2026-01-20 21:56:25,2pct,0
2026-01-20 21:56:30,whole,0
2026-01-20 21:56:30,1pct,0
2026-01-20 21:56:30,2pct,0
2026-01-20 21:58:17,whole,0
2026-01-20 21:58:17,1pct,0
2026-01-20 21:58:17,2pct,0
2026-01-20 21:58:22,whole,0
2026-01-20 21:58:22,1pct,0
2026-01-20 21:58:22,2pct,0
2026-01-20 21:58:27,whole,0
2026-01-20 21:58:27,1pct,0
2026-01-20 21:58:27,2pct,0
2026-01-20 21:58:32,whole,0
2026-01-20 21:58:32,1pct,0
2026-01-20 21:58:32,2pct,0
2026-01-20 21:58:37,whole,0
2026-01-20 21:58:37,1pct,0
2026-01-20 21:58:37,2pct,0
2026-01-20 21:58:42,whole,0
2026-01-20 21:58:42,1pct,0
2026-01-20 21:58:42,2pct,0
2026-01-20 21:58:47,whole,0
2026-01-20 21:58:47,1pct,0
2026-01-20 21:58:47,2pct,0
2026-01-20 21:58:52,whole,0
2026-01-20 21:58:52,1pct,0
2026-01-20 21:58:52,2pct,0
2026-01-20 21:58:57,whole,0
2026-01-20 21:58:57,1pct,0
2026-01-20 21:58:57,2pct,0
2026-01-20 21:59:03,whole,0
2026-01-20 21:59:03,1pct,0
2026-01-20 21:59:03,2pct,0
2026-01-20 21:59:08,whole,0
2026-01-20 21:59:08,1pct,0
2026-01-20 21:59:08,2pct,0
2026-01-20 21:59:13,whole,0
2026-01-20 21:59:13,1pct,0
2026-01-20 21:59:13,2pct,0
2026-01-20 21:59:18,whole,0
2026-01-20 21:59:18,1pct,0
2026-01-20 21:59:18,2pct,0
2026-01-20 21:59:23,whole,0
2026-01-20 21:59:23,1pct,0
2026-01-20 21:59:23,2pct,0
2026-01-20 21:59:28,whole,0
2026-01-20 21:59:28,1pct,0
2026-01-20 21:59:28,2pct,0
2026-01-20 21:59:33,whole,0
2026-01-20 21:59:33,1pct,0
2026-01-20 21:59:33,2pct,0
2026-01-20 21:59:38,whole,0
2026-01-20 21:59:38,1pct,0
2026-01-20 21:59:38,2pct,0
2026-01-20 21:59:43,whole,0
2026-01-20 21:59:43,1pct,0
2026-01-20 21:59:43,2pct,0
2026-01-20 21:59:48,whole,0
2026-01-20 21:59:48,1pct,0
2026-01-20 21:59:48,2pct,0
2026-01-20 21:59:53,whole,0
2026-01-20 21:59:53,1pct,0
2026-01-20 21:59:53,2pct,0
2026-01-20 21:59:58,whole,0
2026-01-20 21:59:58,1pct,0
2026-01-20 21:59:58,2pct,0
2026-01-20 22:00:03,whole,0
2026-01-20 22:00:03,1pct,0
2026-01-20 22:00:03,2pct,0
2026-01-20 22:00:08,whole,0
2026-01-20 22:00:08,1pct,0
2026-01-20 22:00:08,2pct,0
2026-01-20 22:00:14,whole,0
2026-01-20 22:00:14,1pct,0
2026-01-20 22:00:14,2pct,0
2026-01-20 22:00:19,whole,0
2026-01-20 22:00:19,1pct,0
2026-01-20 22:00:19,2pct,0
2026-01-20 22:00:24,whole,0
2026-01-20 22:00:24,1pct,0
2026-01-20 22:00:24,2pct,0
2026-01-20 22:00:29,whole,0
2026-01-20 22:00:29,1pct,0
2026-01-20 22:00:29,2pct,0
2026-01-20 22:00:34,whole,0
2026-01-20 22:00:34,1pct,0
2026-01-20 22:00:34,2pct,0
2026-01-20 22:00:39,whole,0
2026-01-20 22:00:39,1pct,0
2026-01-20 22:00:39,2pct,0
2026-01-20 22:00:44,whole,0
2026-01-20 22:00:44,1pct,0
2026-01-20 22:00:44,2pct,0
2026-01-20 22:00:49,whole,0
2026-01-20 22:00:49,1pct,0
2026-01-20 22:00:49,2pct,0
2026-01-20 22:00:54,whole,0
2026-01-20 22:00:54,1pct,0
2026-01-20 22:00:54,2pct,0
2026-01-20 22:00:59,whole,0
2026-01-20 22:00:59,1pct,0
2026-01-20 22:00:59,2pct,0
2026-01-20 22:01:04,whole,0
2026-01-20 22:01:04,1pct,0
2026-01-20 22:01:04,2pct,0
2026-01-20 22:01:09,whole,0
2026-01-20 22:01:09,1pct,0
2026-01-20 22:01:09,2pct,0
2026-01-20 22:01:14,whole,0
2026-01-20 22:01:14,1pct,0
2026-01-20 22:01:14,2pct,0
2026-01-20 22:01:19,whole,0
2026-01-20 22:01:19,1pct,0
2026-01-20 22:01:19,2pct,0
2026-01-20 22:01:24,whole,0
2026-01-20 22:01:24,1pct,0
2026-01-20 22:01:24,2pct,0
2026-01-20 22:01:30,whole,0
2026-01-20 22:01:30,1pct,0
2026-01-20 22:01:30,2pct,0
2026-01-20 22:01:35,whole,0
2026-01-20 22:01:35,1pct,0
2026-01-20 22:01:35,2pct,0
2026-01-20 22:01:40,whole,0
2026-01-20 22:01:40,1pct,0
2026-01-20 22:01:40,2pct,0
2026-01-20 22:01:45,whole,0
